name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cydia pomonella granulovirus	28289	species	123500	1	1	0.0
Burkholderia pseudomallei	28450	species	11222453	1	0	0.0
Salmonella enterica	28901	species	6689149	5	5	0.0
Mycoplasma bovis	28903	species	1562794	1	1	0.0
Methanococcoides burtonii	29291	species	2575032	2	2	0.0
Pyrococcus abyssi	29292	species	1768562	2	1	0.0
Mycobacterium haemophilum	29311	species	4235765	1	0	0.0
Thermoanaerobacter brockii	29323	species	2344824	1	0	0.0
Thermoanaerobacterium xylanolyticum	29329	species	2534358	4	3	0.0
Cellulosilyticum lentocellum	29360	species	4714237	2	1	0.0
Staphylococcus saprophyticus	29385	species	3903594	2	1	0.0
Staphylococcus capitis	29388	species	2503265	2	2	0.0
Synechococcus sp. WH 8103	29410	species	2429688	1	1	0.0
Rhizobium etli	29449	species	6784960	2	0	0.0
Veillonella parvula	29466	species	2132142	1	0	0.0
Yersinia rohdei	29485	species	4372253	2	2	0.0
Yersinia ruckeri	29486	species	7304941	2	1	0.0
Lawsonia intracellularis	29546	species	1719103	2	2	0.0
Mycoplasma canadense	29554	species	693241	3	3	0.0
Mycoplasma canis	29555	species	933117	1	0	0.0
Caldicellulosiruptor bescii	31899	species	2931662	3	1	0.0
Halothermothrix orenii	31909	species	2578146	1	1	0.0
Rhodobacteraceae	31989	family	0	1	0	0.0
Burkholderia	32008	genus	0	1	0	0.0
Helicobacter hepaticus	32025	species	1799146	1	1	0.0
Synechococcus elongatus	32046	species	2719262	1	0	0.0
Synechococcus sp. PCC 7002	32049	species	3409935	1	0	0.0
Calothrix parietina	32054	species	6960392	2	1	0.0
synthetic construct	32630	species	26537524	1	0	0.0
Desulfurella acetivorans	33002	species	1819992	4	3	0.0
Parvimonas micra	33033	species	1627009	3	2	0.0
Anaerococcus prevotii	33034	species	1998633	1	1	0.0
Bartonella grahamii	33045	species	2369520	1	1	0.0
Bartonella vinsonii	33047	species	1802699	1	1	0.0
Candidatus Kinetoplastibacterium crithidii	33056	species	821871	3	2	0.0
Acidobacterium capsulatum	33075	species	4127356	1	1	0.0
Streptomyces avermitilis	33903	species	9119895	1	1	0.0
Amycolatopsis mediterranei	33910	species	13655759	1	1	0.0
Anoxybacillus flavithermus	33934	species	2846746	3	2	0.0
Geobacillus thermodenitrificans	33940	species	3608012	1	0	0.0
Acetobacterium woodii	33952	species	4044777	3	3	0.0
Lactobacillus johnsonii	33959	species	1958140	4	4	0.0
Melissococcus plutonius	33970	species	2059558	2	2	0.0
Rickettsia bellii	33990	species	1525528	2	2	0.0
Rickettsia rhipicephali	33992	species	1377049	2	1	0.0
Candidatus Liberibacter africanus	34020	species	1192232	1	1	0.0
Candidatus Liberibacter asiaticus	34021	species	1229983	1	1	0.0
Moraxella osloensis	34062	species	2649137	1	1	0.0
Variovorax paradoxus	34073	species	6817856	1	0	0.0
Riemerella anatipestifer	34085	species	2813253	6	5	0.0
Streptobacillus moniliformis	34105	species	1673280	4	3	0.0
Mycobacterium indicus pranii	35617	species	5589007	1	0	0.0
Acholeplasma oculi	35623	species	1587120	1	0	0.0
Citrobacter amalonaticus	35703	species	7931914	1	0	0.0
Rickettsia massiliae	35791	species	1376184	1	0	0.0
Ehrlichia muris	35795	species	1196717	3	2	0.0
Bordetella holmesii	35814	species	3697767	1	1	0.0
Clostridium saccharoperbutylacetonicum	36745	species	6666445	6	5	0.0
Mycobacterium abscessus	36809	species	18231971	2	1	0.0
Desulfitobacterium dehalogenans	36854	species	4321753	1	1	0.0
Methanosarcina siciliae	38027	species	5222724	2	0	0.0
Pseudothermotoga elfii	38322	species	2169860	2	0	0.0
Acholeplasma palmae	38986	species	1554229	4	2	0.0
Methanococcus maripaludis	39152	species	1742753	11	8	0.0
[Eubacterium] rectale	39491	species	3449685	1	1	0.0
Methanosalsum zhilinae	39669	species	2138444	3	3	0.0
Thiomicrospira crunogena	39765	species	2427734	2	2	0.0
Sulfurimonas denitrificans	39766	species	2201561	4	2	0.0
Dialister pneumosintes	39950	species	1274073	1	0	0.0
Acinetobacter johnsonii	40214	species	4081329	2	2	0.0
Aliivibrio salmonicida	40269	species	4655660	1	1	0.0
Stenotrophomonas maltophilia	40324	species	6512435	2	0	0.0
Leptotrichia buccalis	40542	species	2465610	3	3	0.0
Xenorhabdus bovienii	40576	species	4523083	3	2	0.0
Xenorhabdus poinarii	40577	species	3659523	2	2	0.0
Thioploca ingrica	40754	species	4810005	3	3	0.0
Cyanothece sp. PCC 8801	41431	species	4787694	3	1	0.0
Rubrobacter radiotolerans	42256	species	3267233	1	1	0.0
Halobacteroides halobius	42422	species	2649255	3	2	0.0
Roseobacter litoralis	42443	species	4745450	1	1	0.0
Methanococcus aeolicus	42879	species	1569500	5	4	0.0
Sulfolobus islandicus	43080	species	2647110	8	7	0.0
Butyrivibrio proteoclasticus	43305	species	4404886	3	1	0.0
Kutzneria albida	43357	species	9874926	1	1	0.0
Pseudoalteromonas rubra	43658	species	5913780	1	1	0.0
Rothia mucilaginosa	43675	species	2278659	1	0	0.0
Cyanothece sp. ATCC 51142	43989	species	5460377	2	2	0.0
Caldicellulosiruptor saccharolyticus	44001	species	2970275	3	1	0.0
Ferrimonas balearica	44012	species	4279159	1	1	0.0
Paenibacillus durus	44251	species	5814491	1	0	0.0
Bradyrhizobium oligotrophicum	44255	species	8264165	1	1	0.0
Nitrosomonas communis	44574	species	4067838	1	1	0.0
Sulfurospirillum barnesii	44674	species	2510109	1	1	0.0
Vibrio scophthalmi	45658	species	9728927	3	1	0.0
Staphylococcus pasteuri	45972	species	2559946	2	1	0.0
Anabaena sp. 90	46234	species	5305675	2	1	0.0
Thermoanaerobacter wiegelii	46354	species	2785056	3	2	0.0
Thermosipho melanesiensis	46541	species	1915238	2	2	0.0
Bibersteinia trehalosi	47735	species	2411529	1	1	0.0
Acinetobacter pittii	48296	species	6018266	2	1	0.0
Candidatus Arthromitus sp. SFB-mouse	49118	species	1603201	3	0	0.0
Desulfitobacterium hafniense	49338	species	5503334	1	1	0.0
Mycoplasma crocodyli	50052	species	934379	2	1	0.0
Thermoplasma volcanium	50339	species	1584804	3	3	0.0
Syntrophobotulus glycolicus	51197	species	3406739	1	1	0.0
Wigglesworthia glossinidia	51229	species	711269	1	1	0.0
Mycoplasma yeatsii	51365	species	895051	1	1	0.0
Pediococcus damnosus	51663	species	11570178	1	0	0.0
Aerococcus urinaeequi	51665	species	4067667	1	1	0.0
Tetragenococcus halophilus	51669	species	2476095	4	4	0.0
Prevotella dentalis	52227	species	3350206	1	1	0.0
Brachyspira pilosicoli	52584	species	2635825	3	3	0.0
Caldicellulosiruptor kristjanssonii	52765	species	2802443	4	2	0.0
Caldicellulosiruptor lactoaceticus	52766	species	2674809	2	1	0.0
Enterococcus durans	53345	species	6143683	2	2	0.0
Hyphomicrobium denitrificans	53399	species	3723828	1	1	0.0
Lactobacillus lindneri	53444	species	2842174	1	0	0.0
Octadecabacter arcticus	53946	species	5478249	1	1	0.0
Pyrococcus horikoshii	53953	species	1738505	2	2	0.0
Hyperthermus butylicus	54248	species	1667163	1	1	0.0
Pyrolobus fumarii	54252	species	1843267	1	1	0.0
Thermosphaera aggregans	54254	species	1316595	1	1	0.0
Ferroglobus placidus	54261	species	2196266	4	1	0.0
Thermococcus chitonophagus	54262	species	1969648	3	3	0.0
Chroococcidiopsis thermalis	54299	species	6689401	1	1	0.0
Pleurocapsa minor	54308	species	4986817	2	2	0.0
Salmonella bongori	54736	species	4542714	1	0	0.0
Flavobacterium branchiophilum	55197	species	3563292	3	2	1
Caldicellulosiruptor owensensis	55205	species	2428903	2	1	0.0
Dehalobacter restrictus	55583	species	2943336	1	0	0.0
Vibrio anguillarum	55601	species	5628663	2	1	0.0
Thermococcus barophilus	55802	species	2226382	2	2	0.0
Bartonella clarridgeiae	56426	species	1522743	4	3	0.0
Rhizobium gallicum	56730	species	7311190	1	1	0.0
Shewanella frigidimarina	56812	species	4845257	2	1	0.0
Psychroflexus torquis	57029	species	4321832	6	6	0.0
Colwellia sp. MT41	58049	species	4337945	1	1	0.0
Desulfotomaculum acetoxidans	58138	species	4545624	1	1	0.0
Archaeoglobus veneficus	58290	species	1901943	1	1	0.0
Streptococcus macedonicus	59310	species	2142762	1	0	0.0
Shewanella violacea	60217	species	4962103	1	1	0.0
Lactobacillus paraplantarum	60520	species	3139729	1	0	0.0
Burkholderia pyrrocinia	60550	species	7961346	1	0	0.0
Burkholderia vietnamiensis	60552	species	14209387	1	1	0.0
Phaeobacter gallaeciensis	60890	species	4300940	1	1	0.0
Desulfobacca acetoxidans	60893	species	3282536	1	1	0.0
Sanguibacter keddieii	60920	species	4253413	1	0	0.0
Shewanella woodyi	60961	species	5935403	4	3	0.0
Dehalococcoides mccartyi	61435	species	1417114	1	1	0.0
Paenibacillus mucilaginosus	61624	species	8740689	4	4	0.0
Lelliottia amnigena	61646	species	4616371	1	1	0.0
Kluyvera intermedia	61648	species	6166452	2	2	0.0
Shewanella baltica	62322	species	5379488	1	1	0.0
Zobellia galactanivorans	63186	species	5521712	1	1	0.0
Desulfurobacterium thermolithotrophum	64160	species	1541968	2	2	0.0
Halothece sp. PCC 7418	65093	species	4179170	3	0	0.0
Mycoplasma wenyonii	65123	species	650228	1	0	0.0
Cyanothece sp. PCC 7424	65393	species	6554169	2	2	0.0
Sulfurospirillum deleyianum	65553	species	2306351	1	0	0.0
Wolbachia sp. wRi	66084	species	1445873	1	0	0.0
Lachnoclostridium phytofermentans	66219	species	4847594	1	1	0.0
Sulfurospirillum multivorans	66821	species	3175729	1	1	0.0
Methanocaldococcus infernus	67760	species	1328194	3	3	0.0
Citrobacter rodentium	67825	species	5444283	1	1	0.0
Streptomyces griseochromogenes	68214	species	10764674	1	1	0.0
Mesorhizobium	68287	genus	0	1	0	0.0
Wiseana iridescent virus	68347	leaf	205791	1	0	0.0
Cupriavidus basilensis	68895	species	8421483	1	1	0.0
Deinococcus geothermalis	68909	species	3247018	1	1	0.0
Pseudomonas sp. VLB120	69328	species	5966222	1	1	0.0
Petrotoga mobilis	69499	species	2169548	1	1	0.0
Macrococcus caseolyticus	69966	species	2219737	1	0	0.0
Staphylococcus condimenti	70255	species	2659676	2	0	0.0
Shewanella oneidensis	70863	species	5131424	1	0	0.0
Shewanella pealeana	70864	species	5174581	1	1	0.0
Methanocaldococcus vulcanius	73913	species	1761737	3	2	0.0
Photobacterium profundum	74109	species	6403280	1	0	0.0
Brevundimonas subvibrioides	74313	species	3445263	1	0	0.0
Paraburkholderia caribensis	75105	species	13917408	1	0	0.0
Thermocrinis ruber	75906	species	1521037	1	1	0.0
Cellulophaga baltica	76594	species	4597822	1	1	0.0
Myroides odoratimimus	76832	species	4457748	1	1	0.0
Solibacillus silvestris	76853	species	3987727	2	2	0.0
Streptococcus constellatus	76860	species	1954077	2	1	0.0
Caldivirga maquilingensis	76887	species	2077567	2	2	0.0
Wolbachia endosymbiont of Drosophila simulans	77038	species	1298813	5	4	0.0
Wolbachia endosymbiont of Onchocerca volvulus	77551	species	960618	1	0	0.0
Scardovia inopinata	78259	species	1797862	1	1	0.0
Pseudomonas mosselii	78327	species	6247860	1	1	0.0
Desulfosporosinus meridiei	79209	species	4873567	1	1	0.0
Chitinophaga pinensis	79329	species	9127347	3	3	0.0
Bacillus clausii	79880	species	4300106	2	2	0.0
Bacillus pseudofirmus	79885	species	4249248	3	2	0.0
Burkholderiales	80840	order	0	1	0	0.0
Aliivibrio wodanis	80852	species	4635126	3	3	0.0
Picrophilus torridus	82076	species	1545895	4	3	0.0
Cupriavidus gilardii	82541	species	5578743	1	0	0.0
Pseudanabaena sp. PCC 7367	82654	species	4885680	1	0	0.0
Serratia plymuthica	82996	species	6554843	1	1	0.0
Methanocaldococcus fervens	83171	species	1507251	3	3	0.0
Mycobacterium immunogenum	83262	species	11178626	1	1	0.0
gamma proteobacterium HdN1	83406	species	4587455	1	1	0.0
Parachlamydia acanthamoebae	83552	species	3072383	1	1	0.0
Chlamydia psittaci	83554	species	1253830	1	1	0.0
Chlamydia felis	83556	species	1173791	1	0	0.0
Chlamydia muridarum	83560	species	1503632	1	1	0.0
Stenotrophomonas nitritireducens	83617	species	4541729	1	0	0.0
Methanobrevibacter ruminantium	83816	species	2937203	1	1	0.0
Methanocorpusculum labreanum	83984	species	1804962	1	1	0.0
Clostridium aceticum	84022	species	4207037	3	2	0.0
Clostridium autoethanogenum	84023	species	8704651	6	0	0.0
[Clostridium] saccharolyticum	84030	species	4662871	2	2	0.0
Archaeoglobus profundus	84156	species	1563423	3	1	0.0
Cryptobacterium curtum	84163	species	1617804	2	1	0.0
Brachyspira intermedia	84377	species	3308048	1	0	0.0
Brachyspira murdochii	84378	species	3241804	3	3	0.0
Hippea maritima	84405	species	1694430	2	2	0.0
Staphylothermus hellenicus	84599	species	1580347	6	6	0.0
Thermacetogenium phaeum	85874	species	2939057	1	1	0.0
endosymbiont of Acanthamoeba sp. UWC8	86106	species	1615277	1	1	0.0
Mycoplasma dispar	86660	species	1084449	1	0	0.0
Bacillus weihenstephanensis	86662	species	5740546	3	1	0.0
Bacillus halodurans	86665	species	4202352	4	4	0.0
Treponema primitia	88058	species	4059867	1	1	0.0
Candidatus Paracaedibacter acanthamoebae	91604	species	2485110	2	1	0.0
Thioalkalimicrobium aerophilum	92245	species	2158359	2	2	0.0
[Brevibacterium] flavum	92706	species	3339820	2	1	0.0
Pandoraea sputorum	93222	species	5751958	2	1	0.0
Edwardsiella hoshinae	93378	species	3811650	1	0	0.0
Fervidobacterium pennivorans	93466	species	2114116	4	3	0.0
Thermotoga petrophila	93929	species	1823511	1	0	0.0
Thermotoga naphthophila	93930	species	1809823	2	0	0.0
Shewanella sp. ANA-3	94122	species	5251146	1	1	0.0
Legionella fallonii	96230	species	4434890	1	1	0.0
Flavobacterium psychrophilum	96345	species	7603866	5	4	0.0
Halobacteriovorax marinus	97084	species	3437906	2	1	0.0
Ferroplasma acidarmanus	97393	species	1935211	2	2	0.0
Bacillus sp. OxB-1	98228	species	3594618	1	1	0.0
Calothrix sp. PCC 7507	99598	species	7023215	1	0	0.0
Onion yellows phytoplasma	100379	species	853092	1	0	0.0
Chloroherpeton thalassium	100716	species	3293456	2	2	0.0
Wolbachia endosymbiont of Onchocerca ochengi	100901	species	957990	1	0	0.0
Methanomethylovorans hollandica	101192	species	2714013	1	1	0.0
Aequorivita sublithincola	101385	species	3520671	1	1	0.0
Burkholderia ubonensis	101571	species	22281372	2	1	0.0
Stanieria cyanosphaera	102116	species	5544990	2	2	0.0
Desulfotomaculum gibsoniae	102134	species	4855529	1	1	0.0
Streptococcus infantarius	102684	species	1913271	1	1	0.0
Nostoc sp. PCC 7120	103690	species	7211789	1	1	0.0
Cupriavidus necator	106590	species	7948767	3	2	0.0
Acinetobacter nosocomialis	106654	species	4061750	1	0	0.0
Thermoanaerobacter italicus	108150	species	2451061	1	0	0.0
Muricauda ruestringensis	111501	species	3842422	2	2	0.0
Leptolyngbya sp. PCC 7376	111781	species	5125950	2	2	0.0
Sulfolobus tokodaii	111955	species	2694756	4	2	0.0
Bathymodiolus septemdierum thioautotrophic gill symbiont	113267	species	1469434	1	1	0.0
Oscillatoria acuminata	118323	species	7804270	2	2	0.0
Syntrophobacter fumaroxidans	119484	species	4990251	1	1	0.0
Thermotoga sp. RQ2	126740	species	1877693	2	0	0.0
Aerococcus urinaehominis	128944	species	1831400	2	2	0.0
Geobacillus subterraneus	129338	species	3474426	1	0	0.0
Carboxydothermus hydrogenoformans	129958	species	2401520	1	1	0.0
Nitrosococcus halophilus	133539	species	4145260	1	1	0.0
Ureaplasma parvum	134821	species	743562	2	0	0.0
Bacillus endophyticus	135735	species	5313985	4	4	0.0
Leuconostoc kimchii	136609	species	2101787	1	1	0.0
Weissella cibaria	137591	species	2577731	1	1	0.0
Desulfitobacterium metallireducens	142877	species	3176073	3	2	0.0
Filifactor alocis	143361	species	1931012	3	2	0.0
Carnobacterium inhibens	147709	species	2497115	1	0	0.0
Rhodothermus phage RM378	148943	species	129908	1	1	0.0
Marinitoga piezophila	149715	species	2244793	1	1	0.0
Vibrio antiquarius	150340	species	5089025	2	1	0.0
Treponema azotonutricium	150829	species	3855671	1	0	0.0
Pseudopedobacter saltans	151895	species	4635236	2	1	0.0
Nitrosomonas sp. AL212	153948	species	3337023	1	1	0.0
Bacillus toyonensis	155322	species	5025419	2	0	0.0
Methanothermococcus okinawensis	155863	species	1677455	2	1	0.0
Acaryochloris marina	155978	species	8361599	1	1	0.0
Cedecea neteri	158822	species	23867322	3	2	0.0
Ignicoccus hospitalis	160233	species	1297538	1	1	0.0
Acidihalobacter prosperus	160660	species	3566941	1	1	0.0
Pseudoalteromonas phenolica	161398	species	4868993	1	1	0.0
Corynebacterium kroppenstedtii	161879	species	2446804	1	0	0.0
Wolbachia endosymbiont of Drosophila melanogaster	163164	species	1267782	1	0	0.0
Blattabacterium punctulatus	164514	species	609561	2	2	0.0
Synechococcus sp. WH 8109	166314	species	2111515	1	1	0.0
Thermobaculum terrenum	166501	species	3101581	2	0	0.0
Pseudoalteromonas translucida	166935	species	4147593	2	0	0.0
Anaerolinea thermophila	167964	species	3532378	2	1	0.0
Candidatus Ishikawaella capsulata	168169	species	754729	2	1	0.0
Clostridium saccharobutylicum	169679	species	5107814	6	3	0.0
Paenibacillus stellifer	169760	species	5658798	1	0	0.0
Mycoplasma cynos	171284	species	998123	1	1	0.0
Mycoplasma ovis	171632	species	702511	1	1	0.0
Elizabethkingia miricola	172045	species	4242519	3	2	0.0
Thermococcus sibiricus	172049	species	1845800	1	1	0.0
Pseudothermotoga lettingae	177758	species	2135342	2	0	0.0
Erwinia billingiae	182337	species	5372268	1	1	0.0
Oceanobacillus iheyensis	182710	species	3630528	3	2	0.0
Thermodesulfobium narugense	184064	species	1898865	3	2	0.0
Butyrivibrio hungatei	185008	species	3386314	4	3	0.0
Candidatus Baumannia cicadellinicola	186490	species	1040878	3	2	0.0
Paenibacillaceae	186822	family	0	1	0	0.0
Sneathia amnii	187101	species	1330224	3	2	0.0
Thalassolituus oleivorans	187493	species	3842190	2	2	0.0
Pedobacter cryoconitis	188932	species	5950539	2	1	0.0
Paenibacillus graminis	189425	species	7166464	2	0	0.0
Paenibacillus odorifer	189426	species	6812473	3	3	0.0
Vibrio coralliilyticus	190893	species	17260629	2	1	0.0
Shewanella denitrificans	192073	species	4545906	1	1	0.0
Sulfurospirillum halorespirans	194424	species	3029840	2	2	0.0
Synechococcus sp. PCC 8807	195248	species	3304088	1	0	0.0
Synechococcus sp. PCC 6312	195253	species	3720499	1	1	0.0
Deferribacter desulfuricans	197162	species	2542933	5	5	0.0
Streptococcus pasteurianus	197614	species	2100077	1	0	0.0
Candidatus Pelagibacter ubique	198252	species	1308759	3	2	0.0
Caldisphaera lagunensis	200415	species	1546846	3	3	0.0
Pseudomonas trivialis	200450	species	6452803	1	0	0.0
Pseudomonas poae	200451	species	5512241	1	1	0.0
Planococcus rifietoensis	200991	species	3505011	2	1	0.0
Sulfurimonas autotrophica	202747	species	2153198	4	4	0.0
Candidatus Blochmannia floridanus	203907	species	705557	1	1	0.0
Herminiimonas arsenicoxydans	204773	species	3424307	1	1	0.0
Alkaliphilus metalliredigens	208226	species	4929566	2	2	0.0
Carnobacterium sp. 17-4	208596	species	2685399	1	0	0.0
Escherichia albertii	208962	species	4679521	2	2	0.0
Alistipes finegoldii	214856	species	3734239	1	0	0.0
Erwinia sp. Ejp617	215689	species	3957675	1	1	0.0
Polaromonas naphthalenivorans	216465	species	5366143	1	1	0.0
Stenotrophomonas rhizophila	216778	species	4198652	1	0	0.0
Spiroplasma chrysopicola	216933	species	1123322	1	1	0.0
Spiroplasma diminutum	216936	species	945296	1	1	0.0
Clostridium carboxidivorans	217159	species	5752782	7	3	0.0
Methanobrevibacter sp. AbM4	224719	species	1998189	4	3	0.0
Corynebacterium halotolerans	225326	species	3222008	1	1	0.0
Aster yellows witches'-broom phytoplasma	229545	species	723970	1	0	0.0
Methanobrevibacter millerae	230361	species	2543538	1	1	0.0
Belliella baltica	232259	species	4196595	1	0	0.0
Desulfitobacterium dichloroeliminans	233055	species	3624449	2	1	0.0
Candidatus Midichloria mitochondrii	234827	species	1183732	1	1	0.0
Pseudoalteromonas sp. SM9913	234831	species	4037671	2	2	0.0
Lactobacillus paracollinoides	240427	species	10733574	1	1	0.0
Rummeliibacillus stabekisii	241244	species	3420739	2	2	0.0
Crinalium epipsammum	241425	species	5620407	5	4	0.0
Klebsiella variicola	244366	species	10894097	2	2	0.0
Nautilia profundicola	244787	species	1676444	3	2	0.0
Staphylococcus equorum	246432	species	8544915	6	5	0.0
Bacteroides cellulosilyticus	246787	species	7084828	3	2	0.0
